gold\predicted,PERSON_NAME,DOB,AGE,SSN,ITIN,TAX_ID,EMAIL,PHONE,STREET_ADDRESS,CITY,STATE_PROVINCE,POSTAL_CODE,COUNTRY,CREDIT_CARD_NUMBER,BANK_ACCOUNT_NUMBER,ROUTING_NUMBER,IBAN,SWIFT_BIC,BUSINESS_ID,PASSPORT_NUMBER,DRIVER_LICENSE,IP_ADDRESS,DEVICE_ID,AUTH_TOKEN,API_KEY,<BOUNDARY>,<MISSED>
PERSON_NAME,622,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,114
DOB,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AGE,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSN,0,0,0,104,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ITIN,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAX_ID,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMAIL,0,0,0,0,0,0,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
PHONE,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
STREET_ADDRESS,2,0,0,0,0,0,1,0,356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,24
CITY,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STATE_PROVINCE,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POSTAL_CODE,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTRY,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CREDIT_CARD_NUMBER,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,2,0
BANK_ACCOUNT_NUMBER,0,0,0,0,0,0,0,0,0,0,0,0,0,3,102,0,1,0,0,0,0,0,0,0,0,0,1
ROUTING_NUMBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,4
IBAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,1,0
SWIFT_BIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,4,0
BUSINESS_ID,1,2,0,92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,127,3,1,0,0,0,0,3,1
PASSPORT_NUMBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,95,0,0,0,0,0,0,0
DRIVER_LICENSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,1,0
IP_ADDRESS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,4,1
DEVICE_ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0
AUTH_TOKEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0
API_KEY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3,2
<SPURIOUS>,44,8,0,4,0,0,3,7,55,0,0,0,0,4,2,1,2,3,12,1,0,2,0,0,9,0,0
