label,count,percentage
PERSON_NAME,940,3.52
DOB,940,3.52
AGE,940,3.52
SSN,940,3.52
ITIN,940,3.52
TAX_ID,940,3.52
EMAIL,3290,12.32
PHONE,1128,4.23
STREET_ADDRESS,940,3.52
CITY,940,3.52
STATE_PROVINCE,940,3.52
POSTAL_CODE,940,3.52
COUNTRY,940,3.52
CREDIT_CARD_NUMBER,1034,3.87
BANK_ACCOUNT_NUMBER,940,3.52
ROUTING_NUMBER,940,3.52
IBAN,940,3.52
SWIFT_BIC,940,3.52
BUSINESS_ID,1316,4.93
PASSPORT_NUMBER,940,3.52
DRIVER_LICENSE,940,3.52
IP_ADDRESS,1034,3.87
DEVICE_ID,940,3.52
AUTH_TOKEN,1034,3.87
API_KEY,940,3.52
