label,count,percentage
PERSON_NAME,7505,18.49
DOB,1177,2.90
AGE,940,2.32
SSN,1051,2.59
ITIN,940,2.32
TAX_ID,940,2.32
EMAIL,4565,11.25
PHONE,1945,4.79
STREET_ADDRESS,4183,10.31
CITY,940,2.32
STATE_PROVINCE,940,2.32
POSTAL_CODE,940,2.32
COUNTRY,940,2.32
CREDIT_CARD_NUMBER,1162,2.86
BANK_ACCOUNT_NUMBER,1067,2.63
ROUTING_NUMBER,1053,2.59
IBAN,1059,2.61
SWIFT_BIC,1099,2.71
BUSINESS_ID,1726,4.25
PASSPORT_NUMBER,1068,2.63
DRIVER_LICENSE,1057,2.60
IP_ADDRESS,1278,3.15
DEVICE_ID,940,2.32
AUTH_TOKEN,1034,2.55
API_KEY,1032,2.54
