label,count,percentage
PERSON_NAME,5964,18.52
DOB,939,2.92
AGE,752,2.34
SSN,843,2.62
ITIN,752,2.34
TAX_ID,752,2.34
EMAIL,3320,10.31
PHONE,1607,4.99
STREET_ADDRESS,3354,10.42
CITY,752,2.34
STATE_PROVINCE,752,2.34
POSTAL_CODE,752,2.34
COUNTRY,752,2.34
CREDIT_CARD_NUMBER,949,2.95
BANK_ACCOUNT_NUMBER,855,2.66
ROUTING_NUMBER,843,2.62
IBAN,857,2.66
SWIFT_BIC,884,2.75
BUSINESS_ID,1360,4.22
PASSPORT_NUMBER,867,2.69
DRIVER_LICENSE,849,2.64
IP_ADDRESS,1030,3.20
DEVICE_ID,752,2.34
AUTH_TOKEN,846,2.63
API_KEY,820,2.55
